Loyalty Number,Year,Month,Flights Booked,Flights with Companions,Total Flights,Distance,Points Accumulated,Points Redeemed,Dollar Cost Points Redeemed
100504,2018,7,0,0,0,0,0,0,0
110678,2017,1,0,0,0,0,0,0,0
110691,2017,1,7,0,7,2205,220,0,0
110752,2017,1,4,0,4,296,29,0,0
111022,2017,1,1,0,1,948,94,0,0
523897,2017,2,9,6,15,3645,364,292,24
111171,2017,1,3,3,6,1290,129,0,0
111176,2017,1,7,0,7,1127,112,0,0
111255,2017,1,3,3,6,3036,303,0,0
111286,2017,1,5,4,9,3033,303,0,0
111329,2017,1,0,0,0,0,0,0,0
111387,2017,1,0,0,0,0,0,0,0
111485,2017,1,10,6,16,3648,364,0,0
111507,2017,1,0,0,0,0,0,0,0
111573,2017,1,10,0,10,2960,296,0,0
111584,2017,1,0,0,0,0,0,0,0
100504,2018,8,0,0,0,0,0,0,0
111788,2017,1,4,0,4,2184,218,0,0
100504,2018,9,0,0,0,0,0,0,0
111912,2017,1,0,0,0,0,0,0,0
112026,2017,1,11,0,11,1738,173,0,0
112142,2017,1,0,0,0,0,0,0,0
112142,2017,1,0,0,0,0,0,0,0
112226,2017,1,1,0,1,1235,123,0,0
112393,2017,1,0,0,0,0,0,0,0
100504,2018,10,0,0,0,0,0,0,0
112632,2017,1,0,0,0,0,0,0,0
100504,2018,11,0,0,0,0,0,0,0
112678,2017,1,0,0,0,0,0,0,0
112709,2017,1,0,0,0,0,0,0,0
112732,2017,1,0,0,0,0,0,0,0
112733,2017,1,0,0,0,0,0,0,0
112797,2017,1,0,0,0,0,0,0,0
112842,2017,1,0,0,0,0,0,0,0
112856,2017,1,7,0,7,1218,121,0,0
112863,2017,1,4,0,4,2200,220,0,0
112894,2017,1,0,0,0,0,0,0,0
113040,2017,1,0,0,0,0,0,0,0
113184,2017,1,0,0,0,0,0,0,0
113220,2017,1,0,0,0,0,0,0,0
113293,2017,1,0,0,0,0,0,0,0
100504,2018,12,0,0,0,0,0,0,0
113363,2017,1,0,0,0,0,0,0,0
113442,2017,1,0,0,0,0,0,0,0
113476,2017,1,3,3,6,1272,127,0,0
113529,2017,1,0,0,0,0,0,0,0
113558,2017,1,0,0,0,0,0,0,0
101709,2017,1,9,0,9,1350,135,0,0
113656,2017,1,0,0,0,0,0,0,0
184151,2017,7,16,10,26,6136,613,447,36
113694,2017,1,3,0,3,1410,141,0,0
113755,2017,1,1,1,2,2072,207,0,0
113779,2017,1,0,0,0,0,0,0,0
113804,2017,1,0,0,0,0,0,0,0
113831,2017,1,1,1,2,2648,264,0,0
113839,2017,1,8,6,14,2618,261,0,0
113861,2017,1,0,0,0,0,0,0,0
113864,2017,1,0,0,0,0,0,0,0
113874,2017,1,0,0,0,0,0,0,0
113877,2017,1,6,6,12,2736,273,0,0
113904,2017,1,0,0,0,0,0,0,0
113919,2017,1,0,0,0,0,0,0,0
114018,2017,1,4,4,8,2864,286,0,0
114021,2017,1,1,1,2,1922,192,0,0
114131,2017,1,0,0,0,0,0,0,0
101709,2017,2,7,3,10,2160,216,0,0
114219,2017,1,0,0,0,0,0,0,0
892022,2017,4,12,4,16,4080,408,324,26
114307,2017,1,7,0,7,2513,251,0,0
114399,2017,1,0,0,0,0,0,0,0
114414,2017,1,8,4,12,3132,313,0,0
114414,2017,1,1,1,2,1094,109,0,0
114493,2017,1,11,0,11,935,93,0,0
114553,2017,1,0,0,0,0,0,0,0
114638,2017,1,6,0,6,1392,139,0,0
114700,2017,1,0,0,0,0,0,0,0
114743,2017,1,0,0,0,0,0,0,0
114835,2017,1,0,0,0,0,0,0,0
114857,2017,1,0,0,0,0,0,0,0
114903,2017,1,1,0,1,2661,266,0,0
101709,2017,3,0,0,0,0,0,0,0
114927,2017,1,0,0,0,0,0,0,0
114983,2017,1,0,0,0,0,0,0,0
115198,2017,1,0,0,0,0,0,0,0
115322,2017,1,1,1,2,2626,262,0,0
539358,2017,12,15,5,20,5100,510,389,32
115405,2017,1,3,2,5,2025,202,0,0
115427,2017,1,8,0,8,2808,280,0,0
115505,2017,1,0,0,0,0,0,0,0
115529,2017,1,4,1,5,2155,215,0,0
115633,2017,1,0,0,0,0,0,0,0
115705,2017,1,3,0,3,2937,293,0,0
115749,2017,1,0,0,0,0,0,0,0
115805,2017,1,10,1,11,2288,228,0,0
115852,2017,1,0,0,0,0,0,0,0
116016,2017,1,3,0,3,684,68,0,0
116045,2017,1,0,0,0,0,0,0,0
116164,2017,1,0,0,0,0,0,0,0
101709,2017,4,4,3,7,3255,325,456,37
116238,2017,1,0,0,0,0,0,0,0
116288,2017,1,0,0,0,0,0,0,0
116332,2017,1,0,0,0,0,0,0,0
116372,2017,1,0,0,0,0,0,0,0
116562,2017,1,0,0,0,0,0,0,0
116703,2017,1,12,0,12,1968,196,0,0
116732,2017,1,0,0,0,0,0,0,0
116735,2017,1,8,0,8,632,63,0,0
116895,2017,1,0,0,0,0,0,0,0
116897,2017,1,0,0,0,0,0,0,0
486812,2018,12,15,5,20,5100,510,389,32
116948,2017,1,0,0,0,0,0,0,0
116999,2017,1,12,0,12,2220,222,0,0
117033,2017,1,0,0,0,0,0,0,0
117053,2017,1,6,0,6,3018,301,0,0
117169,2017,1,0,0,0,0,0,0,0
117219,2017,1,5,0,5,2395,239,0,0
117240,2017,1,0,0,0,0,0,0,0
117333,2017,1,0,0,0,0,0,0,0
117342,2017,1,9,1,10,770,77,0,0
117351,2017,1,0,0,0,0,0,0,0
117358,2017,1,0,0,0,0,0,0,0
117408,2017,1,11,0,11,1650,165,0,0
117456,2017,1,1,1,2,2852,285,0,0
117460,2017,1,11,4,15,2655,265,0,0
117482,2017,1,0,0,0,0,0,0,0
117618,2017,1,6,0,6,1638,163,0,0
117725,2017,1,0,0,0,0,0,0,0
117782,2017,1,3,3,6,624,62,0,0
117832,2017,1,0,0,0,0,0,0,0
117910,2017,1,2,0,2,1440,144,0,0
117915,2017,1,0,0,0,0,0,0,0
117932,2017,1,4,3,7,833,83,0,0
101709,2017,5,3,3,6,3234,323,0,0
101709,2017,6,6,0,6,3816,381,0,0
748649,2017,3,14,5,19,4769,476,366,30
118298,2017,1,0,0,0,0,0,0,0
118320,2017,1,6,0,6,588,58,0,0
118332,2017,1,11,0,11,946,94,0,0
118355,2017,1,0,0,0,0,0,0,0
118365,2017,1,13,6,19,2337,233,0,0
101709,2017,7,12,5,17,3893,389,0,0
118379,2017,1,2,2,4,2376,237,0,0
118418,2017,1,0,0,0,0,0,0,0
101709,2017,8,17,0,17,3196,319,0,0
118514,2017,1,0,0,0,0,0,0,0
118612,2017,1,0,0,0,0,0,0,0
118628,2017,1,0,0,0,0,0,0,0
118632,2017,1,11,0,11,2640,264,0,0
118675,2017,1,1,0,1,2318,231,0,0
118688,2017,1,0,0,0,0,0,0,0
101709,2017,9,9,2,11,1375,137,0,0
118864,2017,1,4,0,4,1432,143,0,0
119009,2017,1,9,4,13,1755,175,0,0
119015,2017,1,0,0,0,0,0,0,0
119135,2017,1,8,0,8,2920,292,0,0
119198,2017,1,6,1,7,2275,227,0,0
119200,2017,1,0,0,0,0,0,0,0
119408,2017,1,0,0,0,0,0,0,0
119460,2017,1,0,0,0,0,0,0,0
119488,2017,1,0,0,0,0,0,0,0
119519,2017,1,2,1,3,891,89,0,0
119633,2017,1,8,0,8,1584,158,0,0
119634,2017,1,6,2,8,2664,266,0,0
119638,2017,1,0,0,0,0,0,0,0
119690,2017,1,0,0,0,0,0,0,0
119731,2017,1,9,0,9,2799,279,0,0
119837,2017,1,1,1,2,466,46,0,0
119845,2017,1,1,1,2,2290,229,0,0
119917,2017,1,0,0,0,0,0,0,0
119997,2017,1,0,0,0,0,0,0,0
120046,2017,1,0,0,0,0,0,0,0
120126,2017,1,0,0,0,0,0,0,0
120140,2017,1,10,5,15,1890,189,0,0
120164,2017,1,8,6,14,1512,151,0,0
120192,2017,1,3,1,4,2244,224,0,0
120206,2017,1,0,0,0,0,0,0,0
120393,2017,1,10,0,10,2770,277,0,0
120434,2017,1,0,0,0,0,0,0,0
120554,2017,1,3,0,3,294,29,0,0
393806,2017,8,16,6,22,5456,545,409,33
120594,2017,1,1,1,2,1040,104,0,0
120613,2017,1,0,0,0,0,0,0,0
120635,2017,1,0,0,0,0,0,0,0
120799,2017,1,0,0,0,0,0,0,0
120868,2017,1,0,0,0,0,0,0,0
975387,2018,9,13,5,18,4428,442,343,28
121095,2017,1,8,6,14,2856,285,0,0
121139,2017,1,9,0,9,2502,250,0,0
121183,2017,1,0,0,0,0,0,0,0
101709,2017,10,9,0,9,1566,156,0,0
101709,2017,11,5,5,10,2000,200,0,0
121410,2017,1,12,1,13,2223,222,0,0
121469,2017,1,0,0,0,0,0,0,0
121605,2017,1,12,0,12,1368,136,0,0
481076,2018,6,17,6,23,5819,581,436,35
121737,2017,1,0,0,0,0,0,0,0
121751,2017,1,0,0,0,0,0,0,0
121856,2017,1,0,0,0,0,0,0,0
121919,2017,1,0,0,0,0,0,0,0
121930,2017,1,0,0,0,0,0,0,0
121935,2017,1,0,0,0,0,0,0,0
121999,2017,1,0,0,0,0,0,0,0
122009,2017,1,0,0,0,0,0,0,0
122020,2017,1,9,1,10,2510,251,0,0
122049,2017,1,0,0,0,0,0,0,0
122094,2017,1,0,0,0,0,0,0,0
122166,2017,1,0,0,0,0,0,0,0
122173,2017,1,0,0,0,0,0,0,0
122206,2017,1,0,0,0,0,0,0,0
122283,2017,1,9,2,11,2618,261,0,0
122357,2017,1,11,3,14,1666,166,0,0
122456,2017,1,0,0,0,0,0,0,0
101709,2017,12,3,2,5,805,80,0,0
122519,2017,1,2,0,2,348,34,0,0
122545,2017,1,0,0,0,0,0,0,0
122561,2017,1,0,0,0,0,0,0,0
122577,2017,1,0,0,0,0,0,0,0
168026,2017,10,12,4,16,4128,412,327,27
122797,2017,1,0,0,0,0,0,0,0
122858,2017,1,0,0,0,0,0,0,0
122890,2017,1,0,0,0,0,0,0,0
122946,2017,1,0,0,0,0,0,0,0
122958,2017,1,13,0,13,3133,313,0,0
123060,2017,1,1,0,1,971,97,0,0
123083,2017,1,4,4,8,3160,316,0,0
123094,2017,1,0,0,0,0,0,0,0
123115,2017,1,2,2,4,2392,239,0,0
123151,2017,1,0,0,0,0,0,0,0
672570,2018,7,18,7,25,6075,607,447,36
123344,2017,1,8,0,8,1904,190,0,0
123393,2017,1,9,3,12,1428,142,0,0
123420,2017,1,11,0,11,1111,111,0,0
123525,2017,1,8,0,8,1000,100,0,0
123538,2017,1,0,0,0,0,0,0,0
101709,2018,1,6,0,6,1704,170,0,0
123667,2017,1,0,0,0,0,0,0,0
486200,2018,4,7,5,12,3792,409.32,322,26
123697,2017,1,8,0,8,552,55,0,0
123702,2017,1,1,0,1,1741,174,0,0
123727,2017,1,0,0,0,0,0,0,0
123773,2017,1,0,0,0,0,0,0,0
123780,2017,1,0,0,0,0,0,0,0
123784,2017,1,0,0,0,0,0,0,0
567420,2018,4,7,5,12,3792,409.32,322,26
123908,2017,1,3,0,3,2538,253,0,0
123928,2017,1,0,0,0,0,0,0,0
123944,2017,1,0,0,0,0,0,0,0
124038,2017,1,0,0,0,0,0,0,0
124056,2017,1,9,0,9,2358,235,0,0
101709,2018,3,0,0,0,0,0,0,0
124088,2017,1,0,0,0,0,0,0,0
124119,2017,1,0,0,0,0,0,0,0
124195,2017,1,0,0,0,0,0,0,0
124207,2017,1,0,0,0,0,0,0,0
124351,2017,1,9,0,9,2502,250,0,0
124355,2017,1,2,2,4,1832,183,0,0
124377,2017,1,0,0,0,0,0,0,0
124536,2017,1,0,0,0,0,0,0,0
124678,2017,1,3,0,3,1473,147,0,0
124761,2017,1,9,0,9,1260,126,0,0
124931,2017,1,0,0,0,0,0,0,0
124987,2017,1,0,0,0,0,0,0,0
125059,2017,1,0,0,0,0,0,0,0
125068,2017,1,0,0,0,0,0,0,0
125300,2017,1,3,0,3,789,78,0,0
125393,2017,1,0,0,0,0,0,0,0
125493,2017,1,0,0,0,0,0,0,0
125606,2017,1,0,0,0,0,0,0,0
125919,2017,1,8,2,10,2350,235,0,0
125969,2017,1,10,0,10,1920,192,0,0
125996,2017,1,2,2,4,592,59,0,0
126097,2017,1,1,1,2,1346,134,0,0
126100,2017,1,0,0,0,0,0,0,0
126100,2017,1,0,0,0,0,0,0,0
101709,2018,4,11,2,13,2249,336,0,0
126181,2017,1,0,0,0,0,0,0,0
126216,2017,1,3,3,6,1962,196,0,0
126219,2017,1,0,0,0,0,0,0,0
126239,2017,1,1,0,1,2152,215,0,0
126262,2017,1,8,2,10,3100,310,0,0
101709,2018,2,8,0,8,2664,399,0,0
126424,2017,1,1,1,2,2660,266,0,0
126466,2017,1,0,0,0,0,0,0,0
126490,2017,1,6,0,6,1902,190,0,0
126490,2017,1,3,3,6,2676,267,0,0
126526,2017,1,0,0,0,0,0,0,0
126581,2017,1,0,0,0,0,0,0,0
261582,2018,2,6,5,11,3377,363.96,291,24
127039,2017,1,10,0,10,1260,126,0,0
127052,2017,1,0,0,0,0,0,0,0
127127,2017,1,13,4,17,2431,243,0,0
127128,2017,1,0,0,0,0,0,0,0
511588,2018,4,9,5,14,3920,490,323,26
127185,2017,1,0,0,0,0,0,0,0
127241,2017,1,0,0,0,0,0,0,0
127279,2017,1,10,0,10,2300,230,0,0
127289,2017,1,13,0,13,1651,165,0,0
127311,2017,1,1,0,1,658,65,0,0
127350,2017,1,6,0,6,3042,304,0,0
206680,2018,3,13,4,17,4607,575,366,30
127410,2017,1,1,1,2,2754,275,0,0
127496,2017,1,0,0,0,0,0,0,0
127590,2017,1,0,0,0,0,0,0,0
127645,2017,1,0,0,0,0,0,0,0
127663,2017,1,3,0,3,2616,261,0,0
127725,2017,1,0,0,0,0,0,0,0
127785,2017,1,5,0,5,1370,137,0,0
127827,2017,1,7,0,7,1141,114,0,0
127882,2017,1,0,0,0,0,0,0,0
127946,2017,1,0,0,0,0,0,0,0
127966,2017,1,8,0,8,1840,184,0,0
128007,2017,1,0,0,0,0,0,0,0
128032,2017,1,0,0,0,0,0,0,0
128039,2017,1,7,2,9,3312,331,0,0
128041,2017,1,0,0,0,0,0,0,0
128156,2017,1,10,3,13,1911,191,0,0
128210,2017,1,0,0,0,0,0,0,0
101709,2018,5,0,0,0,0,0,0,0
128280,2017,1,0,0,0,0,0,0,0
128325,2017,1,0,0,0,0,0,0,0
128405,2017,1,0,0,0,0,0,0,0
128459,2017,1,9,6,15,1770,177,0,0
128467,2017,1,8,4,12,3480,348,0,0
128475,2017,1,1,0,1,706,70,0,0
128534,2017,1,11,0,11,2992,299,0,0
128572,2017,1,0,0,0,0,0,0,0
128587,2017,1,0,0,0,0,0,0,0
128611,2017,1,0,0,0,0,0,0,0
128615,2017,1,0,0,0,0,0,0,0
128633,2017,1,10,1,11,1474,147,0,0
128749,2017,1,0,0,0,0,0,0,0
128753,2017,1,0,0,0,0,0,0,0
101709,2018,6,9,4,13,1794,179,0,0
128789,2017,1,6,0,6,1896,189,0,0
128950,2017,1,3,0,3,429,42,0,0
128975,2017,1,0,0,0,0,0,0,0
129030,2017,1,0,0,0,0,0,0,0
129071,2017,1,0,0,0,0,0,0,0
129171,2017,1,0,0,0,0,0,0,0
129328,2017,1,0,0,0,0,0,0,0
129343,2017,1,3,3,6,762,76,0,0
129372,2017,1,11,6,17,2091,209,0,0
129409,2017,1,0,0,0,0,0,0,0
129429,2017,1,9,1,10,1510,151,0,0
129434,2017,1,5,0,5,2925,292,0,0
129510,2017,1,8,0,8,1624,162,0,0
129515,2017,1,0,0,0,0,0,0,0
129533,2017,1,4,4,8,840,84,0,0
129555,2017,1,5,4,9,3168,316,0,0
129743,2017,1,0,0,0,0,0,0,0
129817,2017,1,0,0,0,0,0,0,0
129827,2017,1,8,0,8,3136,313,0,0
129914,2017,1,0,0,0,0,0,0,0
129976,2017,1,6,0,6,798,79,0,0
130032,2017,1,2,0,2,2094,209,0,0
130077,2017,1,3,0,3,474,47,0,0
130086,2017,1,0,0,0,0,0,0,0
130179,2017,1,0,0,0,0,0,0,0
130208,2017,1,0,0,0,0,0,0,0
101709,2018,7,0,0,0,0,0,0,0
130326,2017,1,2,2,4,1024,102,0,0
130331,2017,1,0,0,0,0,0,0,0
130331,2017,1,0,0,0,0,0,0,0
130368,2017,1,2,2,4,1492,149,0,0
130419,2017,1,0,0,0,0,0,0,0
101709,2018,8,8,0,8,3080,308,0,0
130446,2017,1,6,0,6,2718,271,0,0
130497,2017,1,0,0,0,0,0,0,0
130548,2017,1,0,0,0,0,0,0,0
130593,2017,1,0,0,0,0,0,0,0
130823,2017,1,1,1,2,1622,162,0,0
130953,2017,1,8,4,12,3000,300,0,0
131001,2017,1,0,0,0,0,0,0,0
131036,2017,1,0,0,0,0,0,0,0
131047,2017,1,11,4,15,3330,333,0,0
131098,2017,1,1,1,2,300,30,0,0
131228,2017,1,0,0,0,0,0,0,0
131253,2017,1,9,0,9,1485,148,0,0
131257,2017,1,9,0,9,1224,122,0,0
131321,2017,1,13,0,13,819,81,0,0
131342,2017,1,6,3,9,2943,294,0,0
131463,2017,1,4,0,4,608,60,0,0
131558,2017,1,0,0,0,0,0,0,0
131560,2017,1,0,0,0,0,0,0,0
131637,2017,1,0,0,0,0,0,0,0
131673,2017,1,0,0,0,0,0,0,0
131680,2017,1,0,0,0,0,0,0,0
131717,2017,1,0,0,0,0,0,0,0
131721,2017,1,0,0,0,0,0,0,0
131761,2017,1,9,1,10,990,99,0,0
131772,2017,1,1,1,2,1836,183,0,0
131815,2017,1,0,0,0,0,0,0,0
131893,2017,1,9,3,12,2796,279,0,0
131956,2017,1,0,0,0,0,0,0,0
131990,2017,1,4,0,4,1032,103,0,0
131997,2017,1,0,0,0,0,0,0,0
132045,2017,1,0,0,0,0,0,0,0
132209,2017,1,7,3,10,3000,300,0,0
132296,2017,1,0,0,0,0,0,0,0
132319,2017,1,3,0,3,1050,105,0,0
132320,2017,1,0,0,0,0,0,0,0
132337,2017,1,0,0,0,0,0,0,0
132552,2017,1,0,0,0,0,0,0,0
132563,2017,1,0,0,0,0,0,0,0
132592,2017,1,1,0,1,2160,216,0,0
132705,2017,1,4,0,4,1160,116,0,0
132756,2017,1,0,0,0,0,0,0,0
132774,2017,1,13,6,19,1216,121,0,0
132884,2017,1,9,6,15,1125,112,0,0
132914,2017,1,0,0,0,0,0,0,0
101709,2018,9,0,0,0,0,0,0,0
132935,2017,1,0,0,0,0,0,0,0
133035,2017,1,0,0,0,0,0,0,0
